City,State,Mileage (miles),Forecast Retail Price ($/unit),Planned Wholesale Price ($/unit),Revenue,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit Margin
Seattle,WA,"1,029",$2.66,$1.06,"$21,280.00","$2,014.50","$4,000.00","$6,014.50","$15,265.50",71.74%
Boise,ID,827,$2.59,$1.04,"$20,752.00","$1,913.50","$4,000.00","$5,913.50","$14,838.50",71.50%
Portland,OR,855,$2.54,$1.02,"$20,336.00","$1,927.50","$4,000.00","$5,927.50","$14,408.50",70.85%
Spokane,WA,"1,097",$2.38,$0.95,"$19,040.00","$2,048.50","$4,000.00","$6,048.50","$12,991.50",68.23%
San Diego,CA,253,$2.09,$0.84,"$16,752.00","$1,626.50","$4,000.00","$5,626.50","$11,125.50",66.41%
