City,State,Mileage_miles,avg_retail_price_jun2025,forecast_retail_price_jun2026,planned_wholesale_price,Revenue,Base_Shipping_Cost,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit_Margin
Seattle,WA,1029,2.66,2.66,1.064,21280.0,2014.5,1007.25,4000.0,5007.25,16272.75,0.7646968984962406
Boise,ID,827,2.5940000000000003,2.5940000000000003,1.0376,20752.0,1913.5,956.75,4000.0,4956.75,15795.25,0.7611435042405551
Portland,OR,855,2.542,2.542,1.0168,20336.0,1927.5,963.75,4000.0,4963.75,15372.25,0.7559131589299763
Spokane,WA,1097,2.38,2.38,0.952,19040.0,2048.5,1024.25,4000.0,5024.25,14015.75,0.7361213235294117
San Diego,CA,253,2.094,2.094,0.8376,16752.0,1626.5,813.25,4000.0,4813.25,11938.75,0.7126760983763133
