City,State,Mileage_miles,avg_retail_price_jun2025,forecast_retail_price_jun2026,planned_wholesale_price,Revenue,Base_Shipping_Cost,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit_Margin
Seattle,WA,1029,2.66,2.66,1.064,21280.0,2014.5,2014.5,4000.0,6014.5,15265.5,0.7173637218045112
Boise,ID,827,2.5940000000000003,2.5940000000000003,1.0376,20752.0,1913.5,1913.5,4000.0,5913.5,14838.5,0.7150395142636854
Portland,OR,855,2.542,2.542,1.0168,20336.0,1927.5,1927.5,4000.0,5927.5,14408.5,0.708521833202203
Spokane,WA,1097,2.38,2.38,0.952,19040.0,2048.5,2048.5,4000.0,6048.5,12991.5,0.6823266806722689
San Diego,CA,253,2.094,2.094,0.8376,16752.0,1626.5,1626.5,4000.0,5626.5,11125.5,0.6641296561604585
