City,State,Mileage_miles,avg_retail_price_jun2025,forecast_retail_price_jun2026,planned_wholesale_price,Revenue,Base_Shipping_Cost,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit_Margin
Seattle,WA,1029,2.66,2.66,1.064,21280.0,2014.5,3021.75,4000.0,7021.75,14258.25,0.6700305451127819
Boise,ID,827,2.5940000000000003,2.5940000000000003,1.0376,20752.0,1913.5,2870.25,4000.0,6870.25,13881.75,0.6689355242868157
Portland,OR,855,2.542,2.542,1.0168,20336.0,1927.5,2891.25,4000.0,6891.25,13444.75,0.6611305074744296
Spokane,WA,1097,2.38,2.38,0.952,19040.0,2048.5,3072.75,4000.0,7072.75,11967.25,0.628532037815126
San Diego,CA,253,2.094,2.094,0.8376,16752.0,1626.5,2439.75,4000.0,6439.75,10312.25,0.6155832139446036
