City,State,Mileage (miles),Forecast Retail Price ($/unit),Planned Wholesale Price ($/unit),Revenue,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit Margin
Seattle,WA,"1,029",$2.66,$1.06,"$21,280.00","$3,021.75","$4,000.00","$7,021.75","$14,258.25",67.00%
Boise,ID,827,$2.59,$1.04,"$20,752.00","$2,870.25","$4,000.00","$6,870.25","$13,881.75",66.89%
Portland,OR,855,$2.54,$1.02,"$20,336.00","$2,891.25","$4,000.00","$6,891.25","$13,444.75",66.11%
Spokane,WA,"1,097",$2.38,$0.95,"$19,040.00","$3,072.75","$4,000.00","$7,072.75","$11,967.25",62.85%
San Diego,CA,253,$2.09,$0.84,"$16,752.00","$2,439.75","$4,000.00","$6,439.75","$10,312.25",61.56%
