City,State,Mileage (miles),Forecast Retail Price ($/unit),Planned Wholesale Price ($/unit),Revenue,Shipping_Cost,Acquisition_Cost,Total_Cost,Profit,Profit Margin
Seattle,WA,"1,029",$2.66,$1.06,"$21,280.00","$1,007.25","$4,000.00","$5,007.25","$16,272.75",76.47%
Boise,ID,827,$2.59,$1.04,"$20,752.00",$956.75,"$4,000.00","$4,956.75","$15,795.25",76.11%
Portland,OR,855,$2.54,$1.02,"$20,336.00",$963.75,"$4,000.00","$4,963.75","$15,372.25",75.59%
Spokane,WA,"1,097",$2.38,$0.95,"$19,040.00","$1,024.25","$4,000.00","$5,024.25","$14,015.75",73.61%
San Diego,CA,253,$2.09,$0.84,"$16,752.00",$813.25,"$4,000.00","$4,813.25","$11,938.75",71.27%
